year,variableA,variableB,variableC,variableD,variableE,variableF
2017-05-15,42.67153,51.77419,47.97429,37.36876,57.15453,46.39384
2017-05-16,41.78514,52.59653,46.83479,36.73549,57.72076,47.4723
2017-05-17,41.0498,53.19755,46.06669,36.03291,58.11063,48.28447
2017-05-18,40.4189,53.61588,45.37959,35.4582,58.29942,48.93235
2017-05-19,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-20,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-21,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-22,39.63826,54.53247,44.42299,34.85353,59.28426,49.78069
2017-05-23,40.24492,54.41688,45.08392,35.40591,59.00794,49.82582
2017-05-24,39.81437,54.01662,44.79591,34.83282,58.33023,49.70301
2017-05-25,39.91333,53.94802,44.96519,34.86146,58.26553,49.63052
2017-05-26,40.22279,53.76402,45.31712,35.12847,58.03189,49.49614
2017-05-27,40.15144,53.83537,45.1971,35.10577,58.08748,49.58326
2017-05-28,40.15144,53.83537,45.1971,35.10577,58.08748,49.58326
2017-05-29,40.06456,53.96847,45.12022,35.0089,58.23272,49.70422
2017-05-30,40.42588,53.90907,45.20613,35.64562,57.96503,49.85311
2017-05-31,40.34653,53.96354,45.0083,35.68476,58.0239,49.90319
2017-06-01,40.30403,54.02005,44.96185,35.64621,58.11176,49.92834
2017-06-02,40.41716,54.00002,45.03052,35.8038,58.06133,49.93871
2017-06-03,40.41716,54.00002,45.03052,35.8038,58.06133,49.93871
2017-06-04,40.13013,54.41492,44.71383,35.54644,58.57169,50.25816
2017-06-05,40.30796,54.25923,45.05179,35.56414,58.43926,50.07919
2017-06-06,40.25127,54.70671,44.90175,35.6008,58.98392,50.4295
2017-06-07,39.47573,55.21827,44.69165,34.2598,59.34021,51.09632
2017-06-08,39.56704,55.13066,44.87513,34.25895,59.27013,50.9912
2017-06-09,39.4872,55.18361,44.72883,34.24557,59.24485,51.12236
2017-06-10,39.4872,55.18361,44.72883,34.24557,59.24485,51.12236
2017-06-11,39.4872,55.18361,44.72883,34.24557,59.24485,51.12236
2017-06-12,39.8111,54.497,44.95952,34.66269,58.70685,50.28715
2017-06-13,39.90106,54.4931,44.8733,34.92881,58.6314,50.35481
2017-06-14,40.24654,53.96759,45.1449,35.34819,58.25368,49.68151
2017-06-15,40.40865,53.82967,45.45263,35.36467,58.14452,49.51482
2017-06-16,41.08271,53.55498,46.18059,35.98484,57.80258,49.30737
2017-06-17,41.08271,53.55498,46.18059,35.98484,57.80258,49.30737
2017-06-18,41.08271,53.55498,46.18059,35.98484,57.80258,49.30737
2017-06-19,41.07663,53.4833,46.22794,35.92532,57.78094,49.18565
2017-06-20,41.74133,53.18612,46.55068,36.93198,57.17889,49.19334
2017-06-21,41.27916,53.78546,45.99531,36.56301,58.26405,49.30687
2017-06-22,41.33515,53.73629,46.1096,36.5607,58.23534,49.23724
2017-06-23,42.15164,53.26928,47.11041,37.19287,57.63242,48.90615
2017-06-24,42.15164,53.26928,47.11041,37.19287,57.63242,48.90615
2017-06-25,42.15164,53.26928,47.11041,37.19287,57.63242,48.90615
2017-06-26,42.26113,53.22862,47.13463,37.38763,57.44697,49.01027
2017-06-27,41.78716,53.23951,46.6125,36.96183,57.33175,49.14727
2017-06-28,41.81993,52.67577,46.51572,37.12415,56.62168,48.72987
2017-06-29,41.86575,52.88573,46.33982,37.39169,56.71787,49.05359
2017-06-30,41.68539,52.85609,46.1218,37.24899,56.67764,49.03455
2017-07-01,41.68539,52.85609,46.1218,37.24899,56.67764,49.03455
2017-07-02,41.68539,52.85609,46.1218,37.24899,56.67764,49.03455
2017-07-03,41.5316,53.03595,45.95436,37.10884,56.94992,49.12199
2017-07-04,41.50266,53.08095,45.93007,37.07524,57.03258,49.12931
2017-07-05,41.05097,53.6532,45.47329,36.62865,57.79597,49.51043
2017-07-06,40.9981,53.72767,45.38999,36.60621,57.86521,49.59013
